name,id,number,sum
[NS³²¼ø],wnnw,29,3624159
°âµÕÀÌ,jyurim99,29,673732
¢¾Á®¸®¢¾,tlswlgus95,29,76934
¾È¿¹½½¶ì,indy1028,29,394061
¹è±×³ª,goodb99,29,309756
ºý´ÙÇý¢¾,dkjfke,29,150802
¹ÌÄ¹¢¾,jieujieun11,29,159399
¹Ï°íµè´Â´Ù´Ï,dani67,29,282885
Áø¼Ö[Ú¸],ooo9330,29,334137
±Çµµ¿¬¢Ü,tpqhrdl,29,199792
ÁöºØÀ§¼ÒÈñ,thwl9386,29,290916
¹é´Ù¿¬,ekdus0830,29,58615
±èÇÐ¼ö,skygkrtn,29,272423
»§ÈÆÀÌ,vlfvlf789,29,795597
ÃÖ±úºñ,sunwo2534,29,128405
[´öÀÌÇü],dockyong,29,95791
°­¹Î¾Æ¡Æ,1000song2,29,376888
³¯¹Ú,p0r0r0,29,207420
SlowVita,kunbams,29,81251
[DM]Äý´Ù¹Ì,damikim,29,436007
¾Æ¶ì_¢¾,jha0331,29,573157
¢ª¼³ÇÏ¢ª,wendysul,29,194404
±ë¿¹¼Ö,yunhee1222,29,257749
·ùÇÏ¢½,rrrr4719,29,418641
¶ÑºÎ¢¾,2boo2boo,29,209388
¢½µµ¿ø¢½,domangcha13,29,732248
¢½ÅÂ¸®Ãò¢½,taeri0806,29,264440
´«¶Ç,lapq8306,29,268158
